label,1,2,3,4,5,6,7,10,11,12,13,14,15,16
String8,47,100,27,81,57,37,26,23,56,53,100,90,40,98
String2,89,27,100,42,75,29,45,15,15,37,69,2,100,6
String1,57,31,68,72,90,100,100,76,75,50,51,28,25,16
String4,100,7,92,5,68,19,45,86,34,100,45,74,23,67
String1,67,49,83,100,100,81,80,60,60,40,40,33,20,47
String6,100,100,88,99,49,74,17,47,16,37,73,16,20,20
String4,100,3,72,26,35,85,35,100,71,73,97,65,49,66
String0,39,2,62,11,5,63,100,43,89,99,36,100,57
String5,13,89,12,50,72,38,56,4,17,61,32,94,100,100
String0,57,100,22,72,31,25,75,13,100,50,75,87,26,85
String9,74,87,31,100,69,62,64,100,79,100,38,84,18,1
String8,48,96,62,65,88,27,21,21,33,79,67,100,100,85
String5,100,100,72,99,36,78,34,54,79,47,64,13,19,2
String9,91,74,54,100,87,23,59,81,67,100,39,79,4,21
String7,85,38,100,81,88,87,50,84,12,58,53,22,100,24
String3,35,76,57,100,100,92,68,66,81,38,82,9,32,17
String3,50,84,66,100,75,75,51,51,100,42,97,13,49,7
String9,99,80,63,100,25,76,79,68,100,62,97,23,54,16
String2,24,66,43,100,59,65,34,28,1,16,11,58,100,1
String2,73,19,99,72,100,70,73,32,48,5,18,46,100
String5,12,77,20,62,78,40,50,1,17,64,23,98,100,100
String1,46,49,64,78,87,100,100,91,75,85,49,75,24,89
String5,10,86,34,66,68,34,34,4,26,69,34,95,100,100
String8,73,62,53,100,72,82,39,100,15,14,52,57,90,94
String6,54,100,34,75,6,43,11,70,100,28,44,46,36,21
String4,11,100,69,15,43,87,47,100,65,74,67,71,33,66
String0,36,92,7,83,37,26,77,6,100,46,84,89,36,100
String4,46,100,10,83,34,64,100,77,71,82,49,54,22,27
String8,61,59,58,100,84,44,42,80,8,5,33,44,100,70
String1,100,84,31,100,88,8,70,15,53,15,35,17
String8,32,59,53,100,100,95,79,46,48,93,19,58,55,63
String5,40,99,51,66,79,26,39,27,8,77,46,100,100,94
String7,98,36,100,80,85,68,42,56,25,23,50,37,100,32
String0,27,76,1,42,16,70,3,100,40,92,84,44,100,73
String9,31,15,63,30,88,52,100,79,82,100,56,82,79,64
String3,30,86,67,100,77,77,53,50,78,40,100,17,56,5
String5,29,91,14,57,66,39,30,19,3,72,39,97,100,100
String4,77,97,40,100,59,9,29,84,33,100,64,77,44,48
String9,64,93,67,97,67,89,100,14,70,100,68,96,36,28
String2,9,93,53,100,89,80,57,52,17,30,5,50,2,100
String7,93,62,100,100,78,69,43,50,5,35,15,35,86,37
String5,30,87,16,55,68,41,52,16,15,63,41,100,100,98
String6,60,100,20,76,39,10,1,69,100,33,56,40,15,10
String3,83,29,100,88,95,64,69,73,43,100,13,50,1,10
String3,5,90,46,98,89,100,100,81,77,59,62,34,37,14
String6,100,99,67,100,24,68,32,27,99,8,77,40,9,55
String3,47,86,73,100,89,75,68,49,100,28,82,4,38,13
String2,29,72,45,100,78,78,60,41,25,12,4,50,6,100
String5,1,88,54,59,31,36,11,28,4,68,28,97,100,100
String4,63,100,40,73,70,63,100,77,79,74,55,48,29,23
String3,11,92,56,100,83,82,52,59,87,39,100,14,55
String1,51,76,68,91,100,100,83,80,59,60,34,40,10,20
